trade_date,symbol,symbol_name,nav,cash,action,size_hint,target_position_pct,filled_quantity,filled_gross_value,execution_price
2026-04-02,688525.SS,佰维存储,30734878.08,14840192.2,sell,0.07,0.22,11414,2406299.48,210.82
2026-04-03,688525.SS,佰维存储,30680357.51,20050968.11,sell,0.5,0.05,24779,5210775.91,210.29
2026-04-07,300442.SZ,润泽科技,30844706.75,16966616.19,hold,0.05,0.1,38792,3084351.92,79.51
2026-04-07,688525.SS,佰维存储,30844706.75,16967268.45,hold,0.0,0.0514,3,652.26,217.42
2026-04-07,600362.SS,江西铜业,30844706.75,16974551.25,hold,0.0,0.07,170,7282.8,42.84
2026-04-07,002015.SZ,协鑫能科,30844706.75,18617110.45,sell,0.0,0.0,94672,1642559.2,17.35
2026-04-08,300442.SZ,润泽科技,31524888.96,19780299.75,hold,0.3,0.07,13390,1163189.3,86.87
2026-04-08,688525.SS,佰维存储,31524888.96,19877858.5,hold,0.0,0.05,425,97558.75,229.55
2026-04-08,600362.SS,江西铜业,31524888.96,19022595.38,hold,0.05,0.1,18764,855263.12,45.58
2026-04-08,002015.SZ,协鑫能科,31524888.96,17446351.15,hold,0.0,0.05,87911,1576244.23,17.93
2026-04-09,300442.SZ,润泽科技,31447233.94,17445738.65,hold,0.0,0.0707,7,612.5,87.5
2026-04-09,688525.SS,佰维存储,31447233.94,18381085.45,sell,0.4,0.02,4106,935346.8,227.8
2026-04-09,600362.SS,江西铜业,31447233.94,18348062.79,hold,0.0,0.1,734,33022.66,44.99
2026-04-09,002015.SZ,协鑫能科,31447233.94,10445323.01,sell,0.5,0.3,453659,7902739.78,17.42
2026-04-10,300442.SZ,润泽科技,31667483.47,10440274.69,hold,0.0,0.07,58,5048.32,87.04
2026-04-10,688525.SS,佰维存储,31667483.47,7940993.29,hold,0.15,0.1,10340,2499281.4,241.71
2026-04-10,600362.SS,江西铜业,31667483.47,1579202.09,hold,0.5,0.3,141688,6361791.2,44.9
2026-04-10,002015.SZ,协鑫能科,31667483.47,1575643.29,hold,0.0,0.297,205,3558.8,17.36
2026-04-13,300442.SZ,润泽科技,32112933.67,1597928.29,hold,0.0,0.07,250,22285.0,89.14
2026-04-13,688525.SS,佰维存储,32112933.67,107.47,hold,0.5,0.5,6241,1597820.82,256.02
2026-04-13,600362.SS,江西铜业,32112933.67,3204672.47,hold,0.2,0.2,70430,3204565.0,45.5
2026-04-13,002015.SZ,协鑫能科,32112933.67,3051862.47,hold,0.0,0.3,8732,152810.0,17.5
